file,class,lines,used_count,using_me_count
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Helpers\SavedEventArgs.cs,BlogEngine.Core.SaveAction,,0,26
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Helpers\StateCollection.cs,BlogEngine.Core.StateList<T>,11,0,22
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\App_GlobalResources\labels.designer.cs,Resources.labels,830,0,22
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Providers\CacheProvider\CacheBase.cs,BlogEngine.Core.Providers.CacheProvider.CacheBase,1,0,20
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Extensions.cs,BlogEngine.Core.Extensions,27,0,15
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Controls\ExtensionAttribute.cs,BlogEngine.Core.Web.Controls.ExtensionAttribute,11,0,15
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\SelectOption.cs,BlogEngine.Core.Data.Models.SelectOption,8,0,12
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Helpers\ServingEventArgs.cs,BlogEngine.Core.ServingLocation,,0,11
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\DataStore\Interfaces.cs,BlogEngine.Core.DataStore.ExtensionType,,0,11
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\BlogRollItem.cs,BlogEngine.Core.BlogRollItem,24,0,9
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\ExtensionParameter.cs,BlogEngine.Core.Web.Extensions.ParameterType,,0,9
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\BlogSettings.cs,BlogEngine.Core.BlogSettings+CommentsBy,,0,7
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\TagItem.cs,BlogEngine.Core.Data.Models.TagItem,6,0,7
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Security\Security.cs,BlogEngine.Core.AuthorizationCheck,,0,6
