FullName,FilePathString,NbLines,NbTypesUsingMe,NbTypesUsed
BlogEngine.Core.Data.Contracts.IDashboardRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\IDashboardRepository.cs,17,3,1
BlogEngine.Core.Data.Contracts.IStatsRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\IStatsRepository.cs,17,3,1
BlogEngine.Core.Packaging.Constants,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Packaging\Constants.cs,46,0,3
BlogEngine.Core.API.MetaWeblog.MWAUserInfo,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MWAUserInfo.cs,42,0,3
BlogEngine.Core.API.MetaWeblog.MWAAuthor,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MWAAuthor.cs,37,2,3
BlogEngine.Core.API.MetaWeblog.MWABlogInfo,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MWABlogInfo.cs,28,2,3
BlogEngine.Core.API.MetaWeblog.MWACategory,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MWACategory.cs,38,2,3
BlogEngine.Core.API.MetaWeblog.MWAFault,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MWAFault.cs,23,2,3
BlogEngine.Core.API.MetaWeblog.MWAMediaInfo,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MWAMediaInfo.cs,18,2,3
BlogEngine.Core.ICustomFilter,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Messaging\Protection\ICustomFilter.cs,51,3,3
BlogEngine.Core.Data.Contracts.ILookupsRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\ILookupsRepository.cs,23,3,3
BlogEngine.Core.Data.Contracts.ISettingsRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\ISettingsRepository.cs,24,3,3
BlogEngine.Core.Entry,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Search\Search.cs,728,1,4
BlogEngine.Core.Data.Contracts.ICustomFilterRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\ICustomFilterRepository.cs,23,1,4
BlogEngine.NET.Custom.Widgets.MonthList+IntComparer_Desc,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Widgets\MonthList\MonthList.cs,59,1,4
BlogEngine.Core.API.MetaWeblog.MWAMediaObject,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\API\MetaWeblog\MWAMediaObject.cs,28,2,4
